Run: 27 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.5878917455286777		E: 0: 0.5878917455286777		LAE: 0: 0.5812025585234787	
Run: 27 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7054886615829297		E: 0: 0.7054886615829297		LAE: 0: 0.5803496459763382	
Run: 27 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.49990163335495935		E: 0: -0.5000983666450407		LAE: 0: 0.5797502514196547	
Run: 27 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5163424529676411		E: 0: -0.48365754703235886		LAE: 0: 0.582636227009332	
Run: 28 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.5787658617959535		E: 0: 0.5787658617959535		LAE: 0: 0.5809325975405957	
Run: 28 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7113860827483108		E: 0: 0.7113860827483108		LAE: 0: 0.580900451482364	
Run: 28 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.5031054140422484		E: 0: -0.4968945859577516		LAE: 0: 0.5790645533439082	
Run: 28 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5164071966613324		E: 0: -0.4835928033386676		LAE: 0: 0.5814591249134465	
Run: 29 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.5691393326463848		E: 0: 0.5691393326463848		LAE: 0: 0.5798847832480218	
Run: 29 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7174234036251421		E: 0: 0.7174234036251421		LAE: 0: 0.5802895348094802	
Run: 29 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.5063256174532105		E: 0: -0.4936743825467895		LAE: 0: 0.578102336063055	
Run: 29 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5170129008391019		E: 0: -0.4829870991608981		LAE: 0: 0.5802422298437588	
Run: 30 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.5588792409640105		E: 0: 0.5588792409640105		LAE: 0: 0.5786322531239526	
Run: 30 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7236702620465811		E: 0: 0.7236702620465811		LAE: 0: 0.5792442015851085	
Run: 30 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.5097846060803152		E: 0: -0.4902153939196848		LAE: 0: 0.577031460634444	
Run: 30 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5181083114588588		E: 0: -0.48189168854114117		LAE: 0: 0.5790227294219973	
Run: 31 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.5478085131834278		E: 0: 0.5478085131834278		LAE: 0: 0.5773278312920291	
Run: 31 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7301802490766321		E: 0: 0.7301802490766321		LAE: 0: 0.5780750320948205	
Run: 31 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.513680353634369		E: 0: -0.48631964636563096		LAE: 0: 0.5758958606520513	
Run: 31 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5196662681716164		E: 0: -0.48033373182838357		LAE: 0: 0.5777681214928028	
Run: 32 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.5357030632026138		E: 0: 0.5357030632026138		LAE: 0: 0.5759730742490712	
Run: 32 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7369914558035233		E: 0: 0.7369914558035233		LAE: 0: 0.5768361686598072	
Run: 32 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.5181938769867025		E: 0: -0.4818061230132975		LAE: 0: 0.5746889070704446	
Run: 32 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.521682392023563		E: 0: -0.47831760797643696		LAE: 0: 0.5764471368317403	
Run: 33 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.5222913318174504		E: 0: 0.5222913318174504		LAE: 0: 0.5745420493032195	
Run: 33 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7441266593602458		E: 0: 0.7441266593602458		LAE: 0: 0.5755157798030988	
Run: 33 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.5234968889992777		E: 0: -0.4765031110007223		LAE: 0: 0.5733906123209545	
Run: 33 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5241750061175423		E: 0: -0.4758249938824577		LAE: 0: 0.5750305952248881	
Run: 34 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.5072569278734431		E: 0: 0.5072569278734431		LAE: 0: 0.5730044870982621	
Run: 34 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7515928956137071		E: 0: 0.7515928956137071		LAE: 0: 0.5740880214789171	
Run: 34 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.5297579745736151		E: 0: -0.47024202542638494		LAE: 0: 0.571975643525404	
Run: 34 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.527186893154397		E: 0: -0.47281310684560296		LAE: 0: 0.5734880683707635	
Run: 35 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.49024638323685105		E: 0: 0.49024638323685105		LAE: 0: 0.5713272110651244	
Run: 35 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.759380468900354		E: 0: 0.759380468900354		LAE: 0: 0.5725208442540332	
Run: 35 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.537145951809006		E: 0: -0.46285404819099396		LAE: 0: 0.5704137990698549	
Run: 35 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5307893201334608		E: 0: -0.4692106798665392		LAE: 0: 0.5717856379237856	
Run: 36 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.4708858209158164		E: 0: 0.4708858209158164		LAE: 0: 0.5694729699466042	
Run: 36 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7674614213358746		E: 0: 0.7674614213358746		LAE: 0: 0.5707762815552433	
Run: 36 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.5458291350877369		E: 0: -0.4541708649122631		LAE: 0: 0.5686691172361225	
Run: 36 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.535087846416918		E: 0: -0.464912153583082		LAE: 0: 0.5698842899102172	
Run: 37 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.4488124299688016		E: 0: 0.4488124299688016		LAE: 0: 0.5673993003980087	
Run: 37 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7757871028356125		E: 0: 0.7757871028356125		LAE: 0: 0.5688096832961504	
Run: 37 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.5559684693847945		E: 0: -0.4440315306152055		LAE: 0: 0.5666987617806722	
Run: 37 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5402272800668542		E: 0: -0.45977271993314583		LAE: 0: 0.567738741779214	
Run: 38 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.42372844232680196		E: 0: 0.42372844232680196		LAE: 0: 0.5650578398502473	
Run: 38 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7842839462668395		E: 0: 0.7842839462668395		LAE: 0: 0.5665691720015558	
Run: 38 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.567700588756647		E: 0: -0.432299411243353		LAE: 0: 0.5644521455299394	
Run: 38 Case: 4 Net: Xor.xml Q: 0: 0.0	1: 1.0		A: 0: 0.5463895423437061		E: 0: -0.45361045765629393		LAE: 0: 0.5652968716351985	
Run: 39 Case: 1 Net: Xor.xml Q: 0: 0.0	1: 0.0		A: 0: 0.3954851106502265		E: 0: 0.3954851106502265		LAE: 0: 0.5623944821641712	
Run: 39 Case: 2 Net: Xor.xml Q: 0: 1.0	1: 1.0		A: 0: 0.7928464568078731		E: 0: 0.7928464568078731		LAE: 0: 0.5639960864615373	
Run: 39 Case: 3 Net: Xor.xml Q: 0: 1.0	1: 0.0		A: 0: 0.5811044660561168		E: 0: -0.41889553394388324		LAE: 0: 0.561870991607579	
